# primary active endings
FA: ω, εις, ει, ομεν, ετε, ουσι(ν)
PA: ω, εις, ει, ομεν, ετε, ουσι(ν)

FA: ω, εις, ει, ουμεν, ειτε, ουσι(ν)
PA: ω, εις, ει, ουμεν, ειτε, ουσι(ν)
PA: ω,  ᾳς,  ᾳ,  ωμεν,  ατε,  ωσι(ν)
PA: ω,  ῃς,  ῃ,  ωμεν,  ητε,  ωσι(ν)


AA: α, ας, ε(ν), αμεν, ατε, αν
XA: α, ας, ε(ν), αμεν, ατε, αν

AA: ον, ες, ε(ν), ομεν, ετε, ον

# mixture of two aorist endings
AA:  α, ες, ε(ν), αμεν, ατε, αν
AA: ον, ες, ε(ν), ομεν, ατε, ον

# mixture of two aorist endings in same lexeme
AA:   ον,    ες, ε(ν),         ?, ετε, ον/οσαν
AA:   ον,    ες, ε(ν),      ομεν, ατε,   ον/αν
AA:   ον,    ες, ε(ν), αμεν/ομεν,   ?,      ον
AA:   ον,    ες, ε(ν), αμεν/ομεν, ατε,   ον/αν
AA:   ον,    ες, ε(ν), αμεν/ομεν, ετε,   ον/αν
AA: ον/α, ες/ας, ε(ν),         ?, ατε,   ον/αν

# α endings with possible -σι(ν)
XA: α, ας, ε(ν), αμεν, ατε, αν/ασι(ν)
XA: α, ας, ε(ν), αμεν, ατε, ασι(ν)
XA: α, ες, ε(ν),    ?, ατε, ασι(ν)

FP: μαι, σαι, ται, μεθα, σθε, νται
PM: μαι, σαι, ται, μεθα, σθε, νται
PP: μαι, σαι, ται, μεθα, σθε, νται
XM: μαι, σαι, ται, μεθα, σθε, νται
XP: μαι, σαι, ται, μεθα, σθε, νται

FM:    ?,    ?, ειται,     ?, εισθε, ουνται
FM:    ?,    ?, σεται,     ?, εισθε,      ?
FM:    ?, εσαι,  εται,     ?,     ?,  ονται
FM:    ?, εσαι,  εται,     ?,  εσθε,      ?
FM: ομαι,    ῃ,   ται, ομεθα,  εσθε,  ονται
FM: ομαι,    ῃ,  εται, ομεθα,  εσθε,  ονται
FP:    ?, ῃ, εται,     ?,    ?, ονται
FP: ομαι, ?,    ?,     ?, εσθε, ονται
FP: ομαι, ?, εται,     ?,    ?, ονται
FP: ομαι, ῃ, εται, ομεθα,    ?,     ?
